,COVID,household,time_of_day,daily_sum
134,True,12,afternoon,-1.6663238433329481
135,True,12,evening,-1.3642515141718525
136,True,13,night,-0.405710747036251
137,True,13,morning,1.654070368705362
138,True,13,afternoon,2.39384919053692
139,True,13,evening,2.3440636635552834
140,True,14,night,-0.5787045929585792
141,True,14,morning,0.38847439014207796
142,True,14,afternoon,-0.20687421222338734
143,True,14,evening,0.016872080338281525
144,True,15,night,-0.6087802232365365
145,True,15,morning,1.1712375015142058
146,True,15,afternoon,1.7638785129959567
147,True,15,evening,2.7901832735488887
148,True,16,night,0.17118112197182006
149,True,16,morning,-1.468041836829734
150,True,16,afternoon,0.045337622682764166
151,True,16,evening,-0.06778730886815466
152,True,17,night,-0.7170524922371824
153,True,17,morning,0.7644334756040814
154,True,17,afternoon,1.0262625930999485
155,True,17,evening,0.7827580132641861
156,True,18,night,0.09047818072596815
157,True,18,morning,1.5598837511605312
158,True,18,afternoon,1.1671896231939192
159,True,18,evening,0.2273845172098283
160,True,19,night,-0.28847476077629236
161,True,19,morning,0.5119705479362531
162,True,19,afternoon,0.7359104205445324
163,True,19,evening,0.5654293595253767
164,True,20,night,-0.4278251810641606
165,True,20,morning,2.3606882427947666
166,True,20,afternoon,2.3265749533280915
167,True,20,evening,1.9182014432977663
