,COVID,household,daily_sum
0,False,0,153.80327868852459
1,False,1,78.34426229508196
2,False,2,88.8360655737705
3,False,3,181.62295081967216
4,False,4,150.6949152542373
5,False,5,152.85245901639345
6,False,6,111.80327868852459
7,False,7,115.14035087719299
8,False,8,72.98360655737704
9,False,9,112.93442622950819
10,False,10,69.06557377049181
11,False,11,108.47540983606558
12,False,12,71.65573770491804
13,False,13,220.49180327868854
14,False,14,159.85245901639345
15,False,15,224.32786885245903
16,False,16,83.56818181818181
17,False,17,116.01639344262296
18,False,18,142.9016393442623
19,False,19,144.81967213114754
20,False,20,167.7704918032787
21,True,0,198.3479262672811
22,True,1,102.73924731182797
23,True,2,156.12616822429905
24,True,3,150.01041666666669
25,True,4,201.8632075471698
26,True,5,193.35483870967744
27,True,6,139.11290322580646
28,True,7,129.10071942446044
29,True,8,97.29032258064515
30,True,9,143.29479768786126
31,True,10,188.87764705882353
32,True,11,167.63133640552996
33,True,12,45.46651270207852
34,True,13,290.38366336633663
35,True,14,151.3364055299539
36,True,15,286.15513126491646
37,True,16,138.74540682414698
38,True,17,204.0921658986175
39,True,18,224.1352657004831
40,True,19,189.3824884792627
41,True,20,294.47685185185185
