,Period,household,time_of_day,daily_sum
91,P2,1,evening,-0.07544407381942807
92,P2,2,night,0.13692128366063142
93,P2,2,morning,0.3986130511712228
94,P2,2,afternoon,0.11366285036138295
95,P2,2,evening,-1.186123215678676
96,P2,3,night,0.46668230142092476
97,P2,3,morning,0.30164205057986826
98,P2,3,afternoon,0.02176073433009553
99,P2,3,evening,-0.585134372575549
100,P2,4,night,0.18703693985520478
101,P2,4,morning,0.34378054885342835
102,P2,4,afternoon,0.612119383458989
103,P2,4,evening,0.7388592652046978
104,P2,5,night,0.035974033325847844
105,P2,5,morning,0.6591198917429129
106,P2,5,afternoon,-0.1963244457758962
107,P2,5,evening,0.6060600209912949
108,P2,6,night,0.06962311677077565
109,P2,6,morning,-0.2062230203138364
110,P2,6,afternoon,-0.7615953975556398
111,P2,6,evening,-0.19334140667697947
112,P2,7,night,2.4015045995042787
113,P2,7,morning,-0.9195351263587163
114,P2,7,afternoon,-0.7681598344150175
115,P2,7,evening,-0.5678811043524927
116,P2,8,night,-0.01786450018603693
117,P2,8,morning,-0.43714548782375734
118,P2,8,afternoon,-1.2269410326981904
119,P2,8,evening,-1.1458655898248782
120,P2,9,night,-0.034689041908500834
121,P2,9,morning,0.7947149349426882
122,P2,9,afternoon,0.3091371923961849
123,P2,9,evening,-0.9388263711482028
124,P2,10,night,-0.614618053126662
125,P2,10,morning,0.06332348980450529
126,P2,10,afternoon,-0.46911326637670125
127,P2,10,evening,-0.3522152515642891
128,P2,11,night,-0.7209362148574631
129,P2,11,morning,1.0116670040623295
130,P2,11,afternoon,0.07281746545858836
131,P2,11,evening,-0.9798028831779615
132,P2,12,night,-0.004404866808065777
133,P2,12,morning,-1.411786222580932
134,P2,12,afternoon,-1.5748561862452066
135,P2,12,evening,-1.2939561420727779
136,P2,13,night,0.015784583258891035
137,P2,13,morning,2.402132537965482
138,P2,13,afternoon,2.3171254894924878
139,P2,13,evening,1.4680045459681481
140,P2,14,night,-0.024594316875022507
141,P2,14,morning,1.4767990916445892
142,P2,14,afternoon,0.9035834191064962
143,P2,14,evening,0.37026535527619264
144,P2,15,night,0.015784583258891035
145,P2,15,morning,1.7422366610599076
146,P2,15,afternoon,1.6818338778793818
147,P2,15,evening,2.0172335844021068
148,P2,16,night,0.4897189816255293
149,P2,16,morning,-1.1765019564785706
150,P2,16,afternoon,-0.35464321709029867
151,P2,16,evening,-0.3992670565712843
152,P2,17,night,-0.23321863423357547
153,P2,17,morning,0.1685123718019069
154,P2,17,afternoon,0.10126335851589197
155,P2,17,evening,0.1423784374966573
156,P2,18,night,0.5508050100332446
157,P2,18,morning,0.724862942991289
158,P2,18,afternoon,0.11585099598117515
159,P2,18,evening,-0.37953292625079504
160,P2,19,night,0.3522754177081699
161,P2,19,morning,0.29260238103321656
162,P2,19,afternoon,0.49075327883896697
163,P2,19,evening,-0.36084188567581754
164,P2,20,night,-0.2534080843005322
165,P2,20,morning,1.8909803145093584
166,P2,20,afternoon,1.3696584361223105
167,P2,20,evening,1.2127999535021075
168,P3,0,night,0.716727038162877
169,P3,0,morning,0.41177144461304827
170,P3,0,afternoon,0.3602720715825277
171,P3,0,evening,1.4817147323239697
172,P3,1,night,1.2241472048258553
173,P3,1,morning,-1.5471562523612559
174,P3,1,afternoon,-0.8468462455521608
175,P3,1,evening,0.19580708507430625
176,P3,2,night,0.06493628014808907
177,P3,2,morning,0.4936958956776168
178,P3,2,afternoon,0.858674335195515
179,P3,2,evening,-0.5462546118923425
180,P3,3,night,-0.23654348414539572
181,P3,3,morning,-1.0208694306489958
182,P3,3,afternoon,-1.214550223970238
183,P3,3,evening,-0.6378783666522833
184,P3,4,night,0.8228818847450898
185,P3,4,morning,-0.07666420667064539
186,P3,4,afternoon,0.45921619593782953
187,P3,4,evening,1.4785396517134768
188,P3,5,night,0.30060003956060205
189,P3,5,morning,0.27644054760132436
190,P3,5,afternoon,0.7546679533150576
191,P3,5,evening,1.316610540578334
192,P3,6,night,0.2453995193378513
193,P3,6,morning,-0.8326505968740694
194,P3,6,afternoon,-0.43496256509636744
195,P3,6,evening,0.4153412301426793
196,P3,7,night,5.665665985825647
197,P3,7,morning,-1.3013828991675502
198,P3,7,afternoon,-0.7193693969641668
199,P3,7,evening,-0.17340943163159353
200,P3,8,night,-0.005125918596171417
201,P3,8,morning,-0.38673269867451887
202,P3,8,afternoon,-0.9347454443980341
203,P3,8,evening,-0.8682985023852033
204,P3,9,night,-0.25989755039348256
205,P3,9,morning,-0.4079915752165906
206,P3,9,afternoon,-0.474080009608929
207,P3,9,evening,-0.9540256788685142
208,P3,10,night,1.7526448639186507
209,P3,10,morning,-0.716504539668605
210,P3,10,afternoon,0.28341779824608293
211,P3,10,evening,0.3409536272682721
212,P3,11,night,-0.5829663967388682
213,P3,11,morning,0.5341396120259478
214,P3,11,afternoon,0.6465197243685649
215,P3,11,evening,-0.45916668657596305
216,P3,12,night,-0.01786450018603693
217,P3,12,morning,-1.6130069187232825
218,P3,12,afternoon,-1.812356817168088
219,P3,12,evening,-1.1907959758224205
220,P3,13,night,0.4046317892111707
221,P3,13,morning,0.9525765234759913
222,P3,13,afternoon,1.6511477404970527
223,P3,13,evening,2.446485654969484
224,P3,14,night,0.14349086661892688
225,P3,14,morning,1.3694579073741755
226,P3,14,afternoon,0.5618419621296079
227,P3,14,evening,0.960094346314406
228,P3,15,night,0.11589060650755144
229,P3,15,morning,0.8348749387186682
230,P3,15,afternoon,1.4983596042832836
231,P3,15,evening,3.733754051052216
232,P3,16,night,0.8936517824665653
233,P3,16,morning,-1.5828642514961504
234,P3,16,afternoon,-0.4585530853420504
235,P3,16,evening,-0.1968576977550478
236,P3,17,night,-0.1686043823327794
237,P3,17,morning,-0.37428847825964745
238,P3,17,afternoon,0.1743491588404707
239,P3,17,evening,0.20261082923964846
240,P3,18,night,0.585095028400933
241,P3,18,morning,1.4145682063780838
242,P3,18,afternoon,1.3529347517424672
243,P3,18,evening,0.5990423226069171
244,P3,19,night,0.3175848150137562
245,P3,19,morning,0.30132898843106665
246,P3,19,afternoon,0.45277332272399623
247,P3,19,evening,1.0154314655258552
248,P3,20,night,-0.013618306322748427
